Index "Column Density" Temperature "Minimised Chi-Squared" "One-Sigma N" "One-Sigma T" "Two-Sigma N" "Two-Sigma T" "Three-Sigma N" "Three-Sigma T"
0 1.8896523396912038e+17 15.547738693467338 0.00076285513225559601 9.0158882997508372e+18 10.0 1.4381182276745359e+19 10.0 1.8151834943190387e+19 10.0
1 1.8896523396912038e+17 15.597989949748744 0.0008502630558136113 9.0158882997508372e+18 10.0 1.4381182276745359e+19 10.0 1.8151834943190387e+19 10.0
2 1.8896523396912038e+17 15.597989949748744 0.00086433284745627561 9.0158882997508372e+18 10.0 1.4381182276745359e+19 10.0 1.8151834943190387e+19 10.0
3 1.8896523396912038e+17 15.597989949748744 0.0009392231918558578 9.0158882997508372e+18 10.0 1.4381182276745359e+19 10.0 1.8151834943190387e+19 10.0
4 1.8896523396912038e+17 15.597989949748744 0.0011075054195253224 9.0158882997508372e+18 10.0 1.4381182276745359e+19 10.0 1.8151834943190387e+19 10.0
5 2.0022003718155926e+17 15.346733668341709 0.0011053886894377299 9.0158882997508372e+18 10.0 1.4381182276745359e+19 10.0 1.8151834943190387e+19 10.0
6 2.0022003718155926e+17 15.396984924623116 0.0011899108160555703 9.0158882997508372e+18 10.0 1.4381182276745359e+19 10.0 1.8151834943190387e+19 10.0
7 2.0022003718155926e+17 15.396984924623116 0.0011644392105033721 9.0158882997508372e+18 10.0 1.4381182276745359e+19 10.0 1.8151834943190387e+19 10.0
8 2.0022003718155926e+17 15.447236180904524 0.0012911401578734269 9.5588322411587092e+18 10.0 1.4381182276745359e+19 10.0 1.8151834943190387e+19 10.0
9 2.0022003718155926e+17 15.447236180904524 0.0013715679165344451 9.5588322411587092e+18 10.0 1.4381182276745359e+19 10.0 1.8151834943190387e+19 10.0
10 2.1214517849106365e+17 15.195979899497488 0.0012678385063836482 9.5588322411587092e+18 10.0 1.4381182276745359e+19 10.0 1.8151834943190387e+19 10.0
11 2.1214517849106365e+17 15.246231155778895 0.0011405692147713883 9.5588322411587092e+18 10.0 1.4381182276745359e+19 10.0 1.8151834943190387e+19 10.0
12 2.1214517849106365e+17 15.296482412060302 0.0011163722755805176 9.5588322411587092e+18 10.0 1.4381182276745359e+19 10.0 1.9238917504552243e+19 10.0
13 2.2478058335487299e+17 15.045226130653267 0.00088268791827076005 9.5588322411587092e+18 10.0 1.4381182276745359e+19 10.0 1.9238917504552243e+19 10.0
14 2.2478058335487299e+17 15.095477386934673 0.00072720374363557222 9.5588322411587092e+18 10.0 1.4381182276745359e+19 10.0 1.9238917504552243e+19 10.0
15 2.3816855519761606e+17 14.894472361809045 0.00033628822165920425 9.5588322411587092e+18 10.0 1.4381182276745359e+19 10.0 1.9238917504552243e+19 10.0
16 2.5235391704347658e+17 14.693467336683417 0.00015214683289061276 9.5588322411587092e+18 10.0 1.4381182276745359e+19 10.0 1.9238917504552243e+19 10.0
17 2.673841615839944e+17 14.492462311557789 0.00011844395695477946 9.5588322411587092e+18 10.0 1.5243684089300132e+19 10.0 1.9238917504552243e+19 10.0
18 2.8330961018393184e+17 14.341708542713569 0.00024191986454320352 1.0134114021054527e+19 10.0 1.5243684089300132e+19 10.0 1.9238917504552243e+19 10.0
19 3.0018358135755795e+17 14.140703517587941 0.00056379731300601054 1.0134114021054527e+19 10.0 1.5243684089300132e+19 10.0 1.9238917504552243e+19 10.0
20 3.1806256927941325e+17 13.989949748743719 0.0012120060041711257 1.0134114021054527e+19 10.0 1.5243684089300132e+19 10.0 1.9238917504552243e+19 10.0
21 3.3700643292719386e+17 13.839195979899497 0.0024128794079895585 1.0134114021054527e+19 10.0 1.5243684089300132e+19 10.0 2.0390746898158543e+19 10.0
22 3.7834626171319328e+17 13.487437185929648 0.0040397288328443198 1.0743659686896087e+19 10.0 1.6157556664437934e+19 10.0 2.0390746898158543e+19 10.0
23 4.0088063288984646e+17 13.336683417085428 0.0058078805005303243 1.0743659686896087e+19 10.0 1.6157556664437934e+19 10.0 2.0390746898158543e+19 10.0
24 4.5005576757004883e+17 12.984924623115578 0.0082871510537436445 1.0743659686896087e+19 10.0 1.6157556664437934e+19 10.0 2.0390746898158543e+19 10.0
25 4.768611697714455e+17 12.884422110552764 0.010636964141569921 1.1389510001873062e+19 10.0 1.712585965398784e+19 10.0 2.1611179456945099e+19 10.0
26 5.0526310653357005e+17 12.733668341708544 0.013169301311881782 1.1389510001873062e+19 10.0 1.712585965398784e+19 10.0 2.1611179456945099e+19 10.0
27 5.6724260684919891e+17 12.4321608040201 0.014818835643653099 1.2061560500045588e+19 10.0 1.712585965398784e+19 10.0 2.1611179456945099e+19 10.0
28 6.0102767820703885e+17 12.331658291457288 0.015976633312411576 1.2054873870659639e+19 10.0 1.712585965398784e+19 10.0 2.1611179456945099e+19 10.0
29 6.3682499447185856e+17 12.231155778894472 0.01636783750529372 1.2047788984428698e+19 10.0 1.8151834943190387e+19 10.0 2.2904301197729214e+19 10.0
30 7.1494289865975629e+17 11.929648241206031 0.015679240913842506 1.2032328147653212e+19 10.0 1.8151834943190387e+19 10.0 2.2904301197729214e+19 10.0
31 7.5752502587718886e+17 11.879396984924623 0.014348263376210292 1.2023900434118066e+19 10.0 1.8151834943190387e+19 10.0 2.2904301197729214e+19 10.0
32 8.026433522257207e+17 11.778894472361809 0.012442325383142711 1.2005509242063575e+19 10.0 1.9238917504552243e+19 10.0 2.2904301197729214e+19 10.0
33 8.5044893418027034e+17 11.678391959798995 0.011571485470803923 1.1995484189703479e+19 10.0 1.9238917504552243e+19 10.0 2.4274441501222216e+19 10.0
34 9.5477161142080666e+17 11.427135678391959 0.011129385912052179 1.1300544767903941e+19 9.9497487437185939 1.9238917504552243e+19 10.0 2.4274441501222216e+19 10.0
35 1.0116379797662071e+18 11.376884422110553 0.011023222295615642 1.0631514508405023e+19 9.7989949748743719 2.0390746898158543e+19 10.0 2.4274441501222216e+19 10.0
36 1.0718913192051264e+18 11.326633165829147 0.013282713837025645 1.0618879103541213e+19 9.6984924623115578 2.0378480120807461e+19 10.0 2.5726187606826746e+19 10.0
37 1.2033778407775857e+18 11.075376884422111 0.016287571857318463 9.981760104011051e+18 9.5979899497487438 2.036470860519057e+19 10.0 2.5726187606826746e+19 10.0
38 1.3509935211980306e+18 10.874371859296483 0.022731758406676211 9.9667298594705326e+18 9.5477386934673376 2.1561252613666492e+19 10.0 2.5726187606826746e+19 10.0
39 1.4314589375234816e+18 10.824120603015075 0.031130668851826925 9.9339304396969697e+18 9.4974874371859297 2.1542861421612003e+19 10.0 2.7264399970746663e+19 10.0
40 1.6070528182616384e+18 10.623115577889447 0.042598204229438663 1.0506653253968894e+19 9.4472361809045218 2.2804081160547656e+19 10.0 2.7264399970746663e+19 10.0
41 1.8041864093920681e+18 10.422110552763819 0.056408749315252145 1.0465313425182894e+19 9.3969849246231156 2.4149660917867344e+19 10.0 2.8888272520900932e+19 10.0
42 2.0255019392306747e+18 10.221105527638191 0.071347832774065215 1.0393603919326038e+19 9.2964824120603033 2.4122087584178737e+19 10.0 2.8860683382535705e+19 10.0
43 2.1461411978584102e+18 10.170854271356784 0.083271868709528282 1.0984246895339491e+19 8.6432160804020111 2.5542877996642816e+19 10.0 3.0562273475674911e+19 10.0
44 2.4094035602395269e+18 9.9698492462311563 0.093424327764345796 1.0888482323666022e+19 8.0904522613065346 2.5508125037547332e+19 10.0 3.0532164754648596e+19 10.0
45 2.5529080682395167e+18 9.9698492462311563 0.093277064112103431 1.0774567103213306e+19 7.5376884422110555 2.5489181173899551e+19 10.0 3.2338740819859632e+19 10.0
46 2.7049597304631316e+18 9.9195979899497484 0.088691048389974089 1.0686866649647342e+19 7.0854271356783931 2.6986053709033468e+19 10.0 3.231271744315308e+19 10.0
47 2.8660676169482445e+18 9.8693467336683423 0.081085030354693333 9.9425578617295831e+18 6.683417085427136 2.6939642815492973e+19 10.0 3.2283501836766704e+19 10.0
48 3.0367711180354483e+18 9.8190954773869343 0.071284692701975544 9.8320217071298806e+18 6.3316582914572859 2.8544172771258647e+19 10.0 3.418943902270011e+19 10.0
49 3.2176417502507484e+18 9.7688442211055282 0.060273587666216114 9.7717683676909609e+18 5.9798994974874375 2.8488965432295125e+19 10.0 3.4152616171130474e+19 10.0
50 3.4092850697468216e+18 9.7185929648241203 0.050433784505761442 9.6402818461185024e+18 5.7788944723618085 2.8426985931979493e+19 10.0 3.4111276342344475e+19 10.0
51 3.4092850697468216e+18 9.8190954773869343 0.043134674446687456 9.5686084461830697e+18 5.4271356783919602 2.8357403544356835e+19 9.8994974874371859 3.6142950076682772e+19 10.0
52 3.612342699709438e+18 9.7688442211055282 0.041293962755012889 9.4122007493726044e+18 5.2261306532663312 2.8279285640168935e+19 9.4472361809045236 3.6093774942002573e+19 10.0
53 3.8274944785163151e+18 9.7185929648241203 0.046861917001664713 9.2366068686344479e+18 5.0251256281407031 2.8191585186602971e+19 8.9949748743718594 3.6066969539801174e+19 10.0
54 4.0554607358408279e+18 9.6180904522613062 0.053141711434814304 9.7867408296471634e+18 4.7738693467336679 2.6463298145580159e+19 8.4924623115577891 3.8185031150384497e+19 10.0
55 4.2970047043208351e+18 9.5678391959799001 0.055887116546216545 9.6853235924809933e+18 4.6231155778894477 2.6352761990980456e+19 8.1909547738693469 3.8153145211276378e+19 10.0
56 4.5529350748669384e+18 9.5175879396984921 0.060155981262763877 9.5778659264873656e+18 4.4221105527638205 2.475429628762162e+19 7.8391959798994977 3.8119360139918533e+19 10.0
57 4.5529350748669384e+18 9.5678391959799001 0.054059551677659204 9.4640080626423869e+18 4.3216080402010055 2.4622809766049161e+19 7.6381909547738704 4.0389756063800041e+19 10.0
