Index "Column Density" Temperature "Minimised Chi-Squared" "One-Sigma N" "One-Sigma T" "Two-Sigma N" "Two-Sigma T" "Three-Sigma N" "Three-Sigma T"
0 1.389495494373136e+19 15.183673469387756 0.0017635745747587735 5.1601677019423913e+20 10.0 9.999e+20 10.0 9.999e+20 10.0
1 1.389495494373136e+19 15.183673469387756 0.0018505062108866365 5.1601677019423913e+20 10.0 9.999e+20 10.0 9.999e+20 10.0
2 1.389495494373136e+19 15.183673469387756 0.0019930464166295265 5.1601677019423913e+20 10.0 9.999e+20 10.0 9.999e+20 10.0
3 1.389495494373136e+19 15.183673469387756 0.002222331868385866 5.1601677019423913e+20 10.0 9.999e+20 10.0 9.999e+20 10.0
4 1.389495494373136e+19 15.387755102040817 0.0022814800040130388 5.1601677019423913e+20 10.0 9.999e+20 10.0 9.999e+20 10.0
5 1.389495494373136e+19 15.387755102040817 0.0018389271759282173 5.1601677019423913e+20 10.0 9.999e+20 10.0 9.999e+20 10.0
6 1.389495494373136e+19 15.387755102040817 0.0014601657936158209 5.1601677019423913e+20 10.0 9.999e+20 10.0 9.999e+20 10.0
7 1.389495494373136e+19 15.387755102040817 0.0012068775860774731 5.1601677019423913e+20 10.0 9.999e+20 10.0 9.999e+20 10.0
8 1.389495494373136e+19 15.387755102040817 0.0011396480947570477 5.1601677019423913e+20 10.0 9.999e+20 10.0 9.999e+20 10.0
9 1.389495494373136e+19 15.387755102040817 0.0013390022064970098 5.1601677019423913e+20 10.0 9.999e+20 10.0 9.999e+20 10.0
10 1.389495494373136e+19 15.387755102040817 0.001909593805524959 5.1526477212784263e+20 10.0 9.999e+20 10.0 9.999e+20 10.0
11 1.389495494373136e+19 15.591836734693878 0.002749762636746758 5.1526477212784263e+20 10.0 9.999e+20 10.0 9.999e+20 10.0
12 1.389495494373136e+19 15.591836734693878 0.0022297167419660629 5.1526477212784263e+20 10.0 9.999e+20 10.0 9.999e+20 10.0
13 1.389495494373136e+19 15.591836734693878 0.0024234546845462853 5.1526477212784263e+20 10.0 9.999e+20 10.0 9.999e+20 10.0
14 1.389495494373136e+19 15.591836734693878 0.003714047567878586 5.1526477212784263e+20 10.0 9.999e+20 10.0 9.999e+20 10.0
15 1.9306977288832455e+19 14.163265306122449 0.0054192406668439634 5.1421987420280744e+20 10.0 9.999e+20 10.0 9.999e+20 10.0
16 1.9306977288832455e+19 14.163265306122449 0.0036688643100962217 5.1421987420280744e+20 10.0 9.999e+20 10.0 9.999e+20 10.0
17 1.9306977288832455e+19 14.36734693877551 0.0020301334829536497 5.1421987420280744e+20 10.0 9.999e+20 10.0 9.999e+20 10.0
18 1.9306977288832455e+19 14.36734693877551 0.00014808131205870838 5.1421987420280744e+20 10.0 9.999e+20 10.0 9.999e+20 10.0
19 1.9306977288832455e+19 14.36734693877551 0.0027041441450376632 5.1421987420280744e+20 10.0 9.999e+20 10.0 9.999e+20 10.0
