Index "Column Density" Temperature "Minimised Chi-Squared" "One-Sigma N" "One-Sigma T" "Two-Sigma N" "Two-Sigma T" "Three-Sigma N" "Three-Sigma T"
0 3.1181575994865975e+19 12.906881345503024 7299.0018932679141 0.0 0.0 0.0 0.0 0.0 0.0
1 3.1926655064350638e+19 12.939698492462311 5427.8812250433721 0.0 0.0 0.0 0.0 0.0 0.0
2 3.5089312066408985e+19 12.808429904625166 1308.1205829989176 0.0 0.0 0.0 0.0 0.0 0.0
3 3.6786254465302475e+19 12.775612757665879 2062.4451925324852 0.0 0.0 0.0 0.0 0.0 0.0
4 3.8565262123831509e+19 12.677161316788021 3131.776557500998 0.0 0.0 0.0 0.0 0.0 0.0
5 3.8565262123831509e+19 12.709978463747309 3257.3038618437586 0.0 0.0 0.0 0.0 0.0 0.0
6 3.8565262123831509e+19 12.709978463747309 4328.6950090787886 0.0 0.0 0.0 0.0 0.0 0.0
7 3.7665256484038033e+19 12.709978463747309 6948.2282305624576 0.0 0.0 0.0 0.0 0.0 0.0
8 3.6786254465302475e+19 12.709978463747309 6511.9401197878033 0.0 0.0 0.0 0.0 0.0 0.0
9 3.592776590169976e+19 12.775612757665879 6829.7215172300848 0.0 0.0 0.0 0.0 0.0 0.0
10 3.6786254465302475e+19 12.677161316788021 7872.6983345994604 0.0 0.0 0.0 0.0 0.0 0.0
11 3.6786254465302475e+19 12.775612757665879 3792.7896965808941 0.0 0.0 0.0 0.0 0.0 0.0
12 3.8565262123831509e+19 12.709978463747309 1298.1973599072255 0.0 0.0 0.0 0.0 0.0 0.0
13 3.8565262123831509e+19 12.742795610706594 3921.5861546421224 0.0 0.0 0.0 0.0 0.0 0.0
14 3.8565262123831509e+19 12.775612757665879 5193.9862060911446 0.0 0.0 0.0 0.0 0.0 0.0
15 4.0430303772369019e+19 12.709978463747309 2148.4661672690513 0.0 0.0 0.0 0.0 0.0 0.0
16 4.0430303772369019e+19 12.775612757665879 1929.0947802252983 0.0 0.0 0.0 0.0 0.0 0.0
17 4.0430303772369019e+19 12.775612757665879 4095.8239863549588 0.0 0.0 0.0 0.0 0.0 0.0
18 4.0430303772369019e+19 12.742795610706594 6583.3198901433288 0.0 0.0 0.0 0.0 0.0 0.0
19 4.0430303772369019e+19 12.775612757665879 5843.1563808508054 0.0 0.0 0.0 0.0 0.0 0.0
20 4.0430303772369019e+19 12.775612757665879 4769.8725096690168 0.0 0.0 0.0 0.0 0.0 0.0
21 4.0430303772369019e+19 12.775612757665879 6633.3877290234141 0.0 0.0 0.0 0.0 0.0 0.0
22 4.1396379801324675e+19 12.677161316788021 6768.7980095078938 0.0 0.0 0.0 0.0 0.0 0.0
23 4.0430303772369019e+19 12.775612757665879 9190.7858880560634 0.0 0.0 9.6607602895565619e+17 0.098451440877857621 9.6607602895565619e+17 0.098451440877857621
24 4.2385540071719412e+19 12.677161316788021 4660.3061859072695 0.0 0.0 0.0 0.0 0.0 0.0
25 4.3398336178030436e+19 12.709978463747309 874.41476648097023 0.0 0.0 0.0 0.0 0.0 0.0
26 4.3398336178030436e+19 12.677161316788021 1943.1697458965325 0.0 0.0 0.0 0.0 0.0 0.0
27 4.2385540071719412e+19 12.644344169828734 6332.1374515084381 0.0 0.0 0.0 0.0 0.0 0.0
28 4.1396379801324675e+19 12.611527022869449 11771.297442425308 0.0 0.0 0.0 0.0 0.0 0.0
29 4.1396379801324675e+19 12.611527022869449 15561.709726995825 0.0 0.0 0.0 0.0 0.0 0.0
30 4.5497108492590375e+19 12.545892728950877 3485.3228793464482 0.0 0.0 0.0 0.0 0.0 0.0
31 4.8837100522583605e+19 12.578709875910162 200.68537564307144 0.0 0.0 0.0 0.0 0.0 0.0
32 5.1198895087234834e+19 12.545892728950877 1934.6301708189135 0.0 0.0 0.0 0.0 0.0 0.0
33 5.3674907603114287e+19 12.41462414111373 4441.5338774363663 0.0 0.0 0.0 0.0 0.0 0.0
34 5.4957461448955445e+19 12.381806994154445 4288.1053934708934 0.0 0.0 0.0 0.0 0.0 0.0
35 5.6270661726080106e+19 12.34898984719516 4498.9667862758797 0.0 0.0 0.0 0.0 0.0 0.0
36 5.7615240726354403e+19 12.283355553276586 5017.51153825455 0.0 0.0 0.0 0.0 0.0 0.0
37 5.8991948239650406e+19 12.217721259358015 2674.9656746694486 0.0 0.0 0.0 0.0 0.0 0.0
38 5.8991948239650406e+19 12.184904112398728 2689.8068552711475 0.0 0.0 0.0 0.0 0.0 0.0
39 5.6270661726080106e+19 12.217721259358015 3645.7496066393269 0.0 0.0 0.0 0.0 0.0 0.0
40 5.3674907603114287e+19 12.2505384063173 6172.3111775254174 0.0 0.0 0.0 0.0 0.0 0.0
41 5.0004055695718113e+19 12.316172700235873 6426.9755593894806 0.0 0.0 0.0 0.0 0.0 0.0
42 4.8837100522583605e+19 12.2505384063173 4414.093156249055 0.0 0.0 0.0 0.0 0.0 0.0
43 4.5497108492590375e+19 12.316172700235873 10212.808813943679 0.0 0.0 0.0 0.0 0.0 0.0
44 4.4435332895003468e+19 12.283355553276586 9061.1935123012736 0.0 0.0 0.0 0.0 0.0 0.0
45 4.4435332895003468e+19 12.316172700235873 2146.9760854230221 0.0 0.0 0.0 0.0 0.0 0.0
46 4.4435332895003468e+19 12.316172700235873 2313.6476722159896 0.0 0.0 0.0 0.0 0.0 0.0
47 4.3398336178030436e+19 12.316172700235873 3645.9423555360245 0.0 0.0 0.0 0.0 0.0 0.0
48 4.3398336178030436e+19 12.283355553276586 3844.2561844137713 0.0 0.0 0.0 0.0 0.0 0.0
49 4.3398336178030436e+19 12.283355553276586 1877.9355555379836 0.0 0.0 0.0 0.0 0.0 0.0
50 4.2385540071719412e+19 12.316172700235873 1627.4161819885323 0.0 0.0 0.0 0.0 0.0 0.0
51 4.0430303772369019e+19 12.34898984719516 3231.5019055077851 0.0 0.0 0.0 0.0 0.0 0.0
52 3.8565262123831509e+19 12.41462414111373 2624.5248406941937 0.0 0.0 0.0 0.0 0.0 0.0
53 3.6786254465302475e+19 12.480258435032304 3872.6043586162787 0.0 0.0 0.0 0.0 0.0 0.0
54 3.6786254465302475e+19 12.41462414111373 3262.4827332993659 0.0 0.0 0.0 0.0 0.0 0.0
55 3.7665256484038033e+19 12.34898984719516 1542.8033014990622 0.0 0.0 0.0 0.0 0.0 0.0
56 3.8565262123831509e+19 12.316172700235873 785.51882650245238 0.0 0.0 0.0 0.0 0.0 0.0
57 3.948677326305031e+19 12.217721259358015 1590.0580802430075 0.0 0.0 0.0 0.0 0.0 0.0
58 4.0430303772369019e+19 12.119269818480156 2598.6629774320986 0.0 0.0 0.0 0.0 0.0 0.0
59 4.2385540071719412e+19 12.053635524561583 535.55544469229221 0.0 0.0 0.0 0.0 0.0 0.0
60 4.3398336178030436e+19 11.988001230643011 501.69315452432954 0.0 0.0 0.0 0.0 0.0 0.0
61 4.3398336178030436e+19 11.922366936724437 2794.8102722108465 0.0 0.0 0.0 0.0 0.0 0.0
62 4.5497108492590375e+19 11.823915495846579 2821.640332754499 0.0 0.0 0.0 0.0 0.0 0.0
63 4.8837100522583605e+19 11.692646908009435 1579.3551717614671 0.0 0.0 0.0 0.0 0.0 0.0
64 5.0004055695718113e+19 11.692646908009435 953.03769068894781 0.0 0.0 0.0 0.0 0.0 0.0
65 5.0004055695718113e+19 11.692646908009435 2244.3685461573527 0.0 0.0 0.0 0.0 0.0 0.0
66 5.1198895087234834e+19 11.627012614090862 612.55542738289898 0.0 0.0 0.0 0.0 0.0 0.0
67 5.0004055695718113e+19 11.659829761050148 852.6242627957937 0.0 0.0 0.0 0.0 0.0 0.0
68 4.5497108492590375e+19 11.823915495846579 3423.4104456006307 0.0 0.0 0.0 0.0 0.0 0.0
69 4.1396379801324675e+19 11.922366936724437 6074.3874691142055 0.0 0.0 0.0 0.0 0.0 0.0
70 3.7665256484038033e+19 12.053635524561583 7856.1216717985862 0.0 0.0 0.0 0.0 0.0 0.0
71 3.5089312066408985e+19 12.184904112398728 6388.5424191553739 0.0 0.0 0.0 0.0 0.0 0.0
72 3.4270425404758987e+19 12.217721259358015 4144.6440081321671 0.0 0.0 0.0 0.0 0.0 0.0
73 3.4270425404758987e+19 12.2505384063173 3302.697532435081 0.0 0.0 0.0 0.0 0.0 0.0
74 3.592776590169976e+19 12.184904112398728 1092.1050746335561 0.0 0.0 0.0 0.0 0.0 0.0
75 3.7665256484038033e+19 12.119269818480156 968.28293822937644 0.0 0.0 0.0 0.0 0.0 0.0
76 3.948677326305031e+19 12.053635524561583 1722.4073025939429 0.0 0.0 0.0 0.0 0.0 0.0
77 4.1396379801324675e+19 11.988001230643011 1734.7166718275271 0.0 0.0 0.0 0.0 0.0 0.0
78 4.3398336178030436e+19 11.922366936724437 460.44219907656009 0.0 0.0 0.0 0.0 0.0 0.0
79 4.3398336178030436e+19 11.955184083683724 1469.1586673076943 0.0 0.0 0.0 0.0 0.0 0.0
80 4.2385540071719412e+19 12.020818377602296 4180.2909846524472 0.0 0.0 0.0 0.0 0.0 0.0
81 4.3398336178030436e+19 12.053635524561583 4075.4257297027389 0.0 0.0 0.0 0.0 0.0 0.0
