Index "Column Density" Temperature "Minimised Chi-Squared"
0 4.5345445807692582e+23 8.0 197183111.07176083
1 4.5345445807692582e+23 8.0 197183111.07176083
2 4.5345445807692582e+23 8.0 197183111.07176083
3 4.5345445807692582e+23 8.0 197183111.07176083
4 4.5345445807692582e+23 8.0 197183111.07176083
5 4.5345445807692582e+23 8.0 197183111.07176083
6 4.5345445807692582e+23 8.0 197183111.07176083
7 4.5345445807692582e+23 8.0 197183111.07176083
8 4.5345445807692582e+23 8.0 197183111.07176083
9 4.5345445807692582e+23 8.0 197183111.07176083
10 4.5345445807692582e+23 8.0 197183111.07176083
11 4.5345445807692582e+23 8.0 197183111.07176083
12 4.5345445807692582e+23 8.0 197183111.07176083
13 4.5345445807692582e+23 8.0 197183111.07176083
14 4.5345445807692582e+23 8.0 197183111.07176083
15 4.5345445807692582e+23 8.0 197183111.07176083
16 4.5345445807692582e+23 8.0 197183111.07176083
17 4.5345445807692582e+23 8.0 197183111.07176083
18 4.5345445807692582e+23 8.0 197183111.07176083
19 4.5345445807692582e+23 8.0 197183111.07176083
20 4.5345445807692582e+23 8.0 197183111.07176083
21 4.5345445807692582e+23 8.0 197183111.07176083
22 4.5345445807692582e+23 8.0 197183111.07176083
23 4.5345445807692582e+23 8.0 197183111.07176083
24 4.5345445807692582e+23 8.0 197183111.07176083
25 4.5345445807692582e+23 8.0 197183111.07176083
26 4.5345445807692582e+23 8.0 197183111.07176083
27 4.5345445807692582e+23 8.0 197183111.07176083
28 4.5345445807692582e+23 8.0 197183111.07176083
29 4.5345445807692582e+23 8.0 197183111.07176083
30 4.5345445807692582e+23 8.0 197183111.07176083
31 4.5345445807692582e+23 8.0 197183111.07176083
32 4.5345445807692582e+23 8.0 197183111.07176083
33 4.5345445807692582e+23 8.0 197183111.07176083
34 4.5345445807692582e+23 8.0 197183111.07176083
35 4.5345445807692582e+23 8.0 197183111.07176083
36 4.5345445807692582e+23 8.0 197183111.07176083
37 4.5345445807692582e+23 8.0 197183111.07176083
38 4.5345445807692582e+23 8.0 197183111.07176083
39 4.5345445807692582e+23 8.0 197183111.07176083
40 4.5345445807692582e+23 8.0 197183111.07176083
41 4.5345445807692582e+23 8.0 197183111.07176083
42 4.5345445807692582e+23 8.0 197183111.07176083
43 4.5345445807692582e+23 8.0 197183111.07176083
44 4.5345445807692582e+23 8.0 197183111.07176083
45 4.5345445807692582e+23 8.0 197183111.07176083
46 4.5345445807692582e+23 8.0 197183111.07176083
47 4.5345445807692582e+23 8.0 197183111.07176083
48 4.5345445807692582e+23 8.0 197183111.07176083
49 4.5345445807692582e+23 8.0 197183111.07176083
50 4.5345445807692582e+23 8.0 197183111.07176083
51 4.5345445807692582e+23 8.0 197183111.07176083
52 4.5345445807692582e+23 8.0 197183111.07176083
53 4.5345445807692582e+23 8.0 197183111.07176083
54 4.5345445807692582e+23 8.0 197183111.07176083
55 4.5345445807692582e+23 8.0 197183111.07176083
56 4.5345445807692582e+23 8.0 197183111.07176083
57 4.5345445807692582e+23 8.0 197183111.07176083
58 4.5345445807692582e+23 8.0 197183111.07176083
59 4.5345445807692582e+23 8.0 197183111.07176083
60 4.5345445807692582e+23 8.0 197183111.07176083
61 4.5345445807692582e+23 8.0 197183111.07176083
62 4.5345445807692582e+23 8.0 197183111.07176083
63 4.5345445807692582e+23 8.0 197183111.07176083
64 4.5345445807692582e+23 8.0 197183111.07176083
65 4.5345445807692582e+23 8.0 197183111.07176083
66 4.5345445807692582e+23 8.0 197183111.07176083
67 4.5345445807692582e+23 8.0 197183111.07176083
68 4.5345445807692582e+23 8.0 197183111.07176083
69 4.5345445807692582e+23 8.0 197183111.07176083
70 4.5345445807692582e+23 8.0 197183111.07176083
71 4.5345445807692582e+23 8.0 197183111.07176083
72 4.5345445807692582e+23 8.0 197183111.07176083
73 4.5345445807692582e+23 8.0 197183111.07176083
74 4.5345445807692582e+23 8.0 197183111.07176083
75 4.5345445807692582e+23 8.0 197183111.07176083
76 4.5345445807692582e+23 8.0 197183111.07176083
77 4.5345445807692582e+23 8.0 197183111.07176083
78 4.5345445807692582e+23 8.0 197183111.07176083
79 4.5345445807692582e+23 8.0 197183111.07176083
80 4.5345445807692582e+23 8.0 197183111.07176083
81 4.5345445807692582e+23 8.0 197183111.07176083
82 4.5345445807692582e+23 8.0 197183111.07176083
83 4.5345445807692582e+23 8.0 197183111.07176083
84 4.5345445807692582e+23 8.0 197183111.07176083
85 4.5345445807692582e+23 8.0 197183111.07176083
86 4.5345445807692582e+23 8.0 197183111.07176083
87 4.5345445807692582e+23 8.0 197183111.07176083
88 4.5345445807692582e+23 8.0 197183111.07176083
89 4.5345445807692582e+23 8.0 197183111.07176083
90 4.5345445807692582e+23 8.0 197183111.07176083
91 4.5345445807692582e+23 8.0 197183111.07176083
92 4.5345445807692582e+23 8.0 197183111.07176083
93 4.5345445807692582e+23 8.0 197183111.07176083
94 4.5345445807692582e+23 8.0 197183111.07176083
95 4.5345445807692582e+23 8.0 197183111.07176083
96 4.5345445807692582e+23 8.0 197183111.07176083
97 4.5345445807692582e+23 8.0 197183111.07176083
98 4.5345445807692582e+23 8.0 197183111.07176083
99 4.5345445807692582e+23 8.0 197183111.07176083
100 4.5345445807692582e+23 8.0 197183111.07176083
101 4.5345445807692582e+23 8.0 197183111.07176083
102 4.5345445807692582e+23 8.0 197183111.07176083
103 4.5345445807692582e+23 8.0 197183111.07176083
104 4.5345445807692582e+23 8.0 197183111.07176083
105 4.5345445807692582e+23 8.0 197183111.07176083
106 4.5345445807692582e+23 8.0 197183111.07176083
107 4.5345445807692582e+23 8.0 197183111.07176083
108 4.5345445807692582e+23 8.0 197183111.07176083
109 4.5345445807692582e+23 8.0 197183111.07176083
110 4.5345445807692582e+23 8.0 197183111.07176083
111 4.5345445807692582e+23 8.0 197183111.07176083
112 4.5345445807692582e+23 8.0 197183111.07176083
113 4.5345445807692582e+23 8.0 197183111.07176083
114 4.5345445807692582e+23 8.0 197183111.07176083
115 4.5345445807692582e+23 8.0 197183111.07176083
116 4.5345445807692582e+23 8.0 197183111.07176083
117 4.5345445807692582e+23 8.0 197183111.07176083
118 4.5345445807692582e+23 8.0 197183111.07176083
119 4.5345445807692582e+23 8.0 197183111.07176083
120 4.5345445807692582e+23 8.0 197183111.07176083
121 4.5345445807692582e+23 8.0 197183111.07176083
122 4.5345445807692582e+23 8.0 197183111.07176083
123 4.5345445807692582e+23 8.0 197183111.07176083
124 4.5345445807692582e+23 8.0 197183111.07176083
125 4.5345445807692582e+23 8.0 197183111.07176083
126 4.5345445807692582e+23 8.0 197183111.07176083
127 4.5345445807692582e+23 8.0 197183111.07176083
128 4.5345445807692582e+23 8.0 197183111.07176083
129 4.5345445807692582e+23 8.0 197183111.07176083
130 4.5345445807692582e+23 8.0 197183111.07176083
131 4.5345445807692582e+23 8.0 197183111.07176083
132 4.5345445807692582e+23 8.0 197183111.07176083
133 4.5345445807692582e+23 8.0 197183111.07176083
134 4.5345445807692582e+23 8.0 197183111.07176083
135 4.5345445807692582e+23 8.0 197183111.07176083
136 4.5345445807692582e+23 8.0 197183111.07176083
137 4.5345445807692582e+23 8.0 197183111.07176083
138 4.5345445807692582e+23 8.0 3560186.2627882618
139 4.5345445807692582e+23 8.0 577180.29250671377
140 4.5345445807692582e+23 8.0 333234.99821026309
141 4.5345445807692582e+23 8.0 224944.98603991524
142 4.5345445807692582e+23 8.0 105599.69842554403
143 4.5345445807692582e+23 8.0 81539.659188258796
144 4.5345445807692582e+23 8.0 70814.502765890284
145 4.5345445807692582e+23 8.0 62050.273984400301
146 4.5345445807692582e+23 8.0 50637.439995930879
147 4.5345445807692582e+23 8.0 50637.439995930879
148 4.5345445807692582e+23 8.0 48729.79131732427
149 4.5345445807692582e+23 8.0 46926.170694482113
150 4.5345445807692582e+23 8.0 46926.170694482113
151 4.5345445807692582e+23 8.0 46926.170694482113
152 4.5345445807692582e+23 8.0 48729.79131732427
153 4.5345445807692582e+23 8.0 50637.439995930879
154 4.5345445807692582e+23 8.0 54797.942309090082
155 4.5345445807692582e+23 8.0 62050.273984400301
156 4.5345445807692582e+23 8.0 77712.241764080216
157 4.5345445807692582e+23 8.0 85652.641186359731
158 4.5345445807692582e+23 8.0 133291.48305145308
159 4.5345445807692582e+23 8.0 224944.98603991521
160 4.5345445807692582e+23 8.0 367778.21920714597
161 4.5345445807692582e+23 8.0 755678.51679519191
162 4.5345445807692582e+23 8.0 3560186.2627882613
163 4.5345445807692582e+23 8.0 197183111.07176083
164 4.5345445807692582e+23 8.0 197183111.07176083
165 4.5345445807692582e+23 8.0 197183111.07176083
166 4.5345445807692582e+23 8.0 197183111.07176083
167 4.5345445807692582e+23 8.0 197183111.07176083
168 4.5345445807692582e+23 8.0 197183111.07176083
169 4.5345445807692582e+23 8.0 197183111.07176083
170 4.5345445807692582e+23 8.0 197183111.07176083
171 4.5345445807692582e+23 8.0 197183111.07176083
172 4.5345445807692582e+23 8.0 197183111.07176083
173 4.5345445807692582e+23 8.0 197183111.07176083
174 4.5345445807692582e+23 8.0 197183111.07176083
175 4.5345445807692582e+23 8.0 197183111.07176083
176 4.5345445807692582e+23 8.0 197183111.07176083
177 4.5345445807692582e+23 8.0 197183111.07176083
178 4.5345445807692582e+23 8.0 197183111.07176083
179 4.5345445807692582e+23 8.0 197183111.07176083
180 4.5345445807692582e+23 8.0 197183111.07176083
181 4.5345445807692582e+23 8.0 197183111.07176083
182 4.5345445807692582e+23 8.0 197183111.07176083
183 4.5345445807692582e+23 8.0 197183111.07176083
184 4.5345445807692582e+23 8.0 197183111.07176083
185 4.5345445807692582e+23 8.0 197183111.07176083
186 4.5345445807692582e+23 8.0 197183111.07176083
187 4.5345445807692582e+23 8.0 197183111.07176083
188 4.5345445807692582e+23 8.0 197183111.07176083
189 4.5345445807692582e+23 8.0 197183111.07176083
190 4.5345445807692582e+23 8.0 197183111.07176083
191 4.5345445807692582e+23 8.0 197183111.07176083
192 4.5345445807692582e+23 8.0 197183111.07176083
193 4.5345445807692582e+23 8.0 197183111.07176083
194 4.5345445807692582e+23 8.0 197183111.07176083
195 4.5345445807692582e+23 8.0 197183111.07176083
196 4.5345445807692582e+23 8.0 197183111.07176083
197 4.5345445807692582e+23 8.0 197183111.07176083
198 4.5345445807692582e+23 8.0 197183111.07176083
199 4.5345445807692582e+23 8.0 197183111.07176083
200 4.5345445807692582e+23 8.0 197183111.07176083
201 4.5345445807692582e+23 8.0 197183111.07176083
202 4.5345445807692582e+23 8.0 197183111.07176083
203 4.5345445807692582e+23 8.0 197183111.07176083
204 4.5345445807692582e+23 8.0 197183111.07176083
205 4.5345445807692582e+23 8.0 197183111.07176083
206 4.5345445807692582e+23 8.0 197183111.07176083
207 4.5345445807692582e+23 8.0 197183111.07176083
208 4.5345445807692582e+23 8.0 197183111.07176083
209 4.5345445807692582e+23 8.0 197183111.07176083
210 4.5345445807692582e+23 8.0 197183111.07176083
211 4.5345445807692582e+23 8.0 197183111.07176083
212 4.5345445807692582e+23 8.0 197183111.07176083
213 4.5345445807692582e+23 8.0 197183111.07176083
214 4.5345445807692582e+23 8.0 197183111.07176083
215 4.5345445807692582e+23 8.0 197183111.07176083
