Index "Column Density" Temperature "Minimised Chi-Squared" "One-Sigma N" "One-Sigma T" "Two-Sigma N" "Two-Sigma T" "Three-Sigma N" "Three-Sigma T"
0 3.1039775531796042e+19 12.910771827528002 7211.1615645912607 0.0 0.0 0.0 0.0 0.0 0.0
1 3.2717631196314395e+19 12.854150682829523 4968.8299785383806 0.0 0.0 0.0 0.0 0.0 0.0
2 3.5096695421961257e+19 12.816403253030536 1420.0143038962237 0.0 0.0 0.0 0.0 0.0 0.0
3 3.6993847969320731e+19 12.759782108332054 2196.1735379061925 0.0 0.0 0.0 0.0 0.0 0.0
4 3.8315252730399818e+19 12.703160963633573 3108.4138047381375 0.0 0.0 0.0 0.0 0.0 0.0
5 3.8993551134186815e+19 12.68428724873408 3347.223720441184 0.0 0.0 0.0 0.0 0.0 0.0
6 3.8993551134186815e+19 12.665413533834586 3755.5825887090377 0.0 0.0 0.0 0.0 0.0 0.0
7 3.7648753424443048e+19 12.703160963633573 6684.9712405533246 0.0 0.0 0.0 0.0 0.0 0.0
8 3.635033468833828e+19 12.759782108332054 6513.2681084734631 0.0 0.0 0.0 0.0 0.0 0.0
9 3.5718015412995187e+19 12.778655823231547 6874.67056015244 0.0 0.0 0.0 0.0 0.0 0.0
10 3.635033468833828e+19 12.722034678533067 7264.0464816478079 0.0 0.0 0.0 0.0 0.0 0.0
11 3.6993847969320731e+19 12.74090839343256 3385.8344786298785 0.0 0.0 0.0 0.0 0.0 0.0
12 3.8315252730399818e+19 12.722034678533067 1599.8158922459029 0.0 0.0 0.0 0.0 0.0 0.0
13 3.8993551134186815e+19 12.703160963633573 3642.3414901197971 0.0 0.0 0.0 0.0 0.0 0.0
14 3.9683857516306031e+19 12.68428724873408 4759.0064829112316 0.0 0.0 0.0 0.0 6.903063821192151e+17 0.056621144698480563
15 4.0386384455089971e+19 12.722034678533067 2065.8885370887574 0.0 0.0 0.0 0.0 0.0 0.0
16 4.0386384455089971e+19 12.778655823231547 1943.1823731870929 0.0 0.0 0.0 0.0 0.0 0.0
17 4.0386384455089971e+19 12.778655823231547 4105.6495467827608 0.0 0.0 0.0 0.0 0.0 0.0
18 4.0386384455089971e+19 12.759782108332054 6696.9848039725375 0.0 0.0 0.0 0.0 0.0 0.0
19 4.0386384455089971e+19 12.759782108332054 5176.5422722229387 0.0 0.0 0.0 0.0 0.0 0.0
20 4.1101348292164723e+19 12.722034678533067 4783.2357219601236 0.0 0.0 0.0 0.0 0.0 0.0
21 4.0386384455089971e+19 12.759782108332054 6136.4010390647491 0.0 0.0 0.0 0.0 0.0 0.0
22 4.0386384455089971e+19 12.759782108332054 6247.8310556210427 0.0 0.0 0.0 0.0 0.0 0.0
23 4.1101348292164723e+19 12.722034678533067 8654.9038611539399 0.0 0.0 0.0 0.0 0.0 0.0
24 4.2569471245069337e+19 12.665413533834586 4664.412449785108 0.0 0.0 0.0 0.0 0.0 0.0
25 4.4090034935186244e+19 12.646539818935093 694.88465825123308 0.0 0.0 0.0 0.0 0.0 0.0
