"First x Pixel" "First y Pixel" U GPE Mass/ms Ratio
3 156 -687332304.21992064 500717486.21706444 0.33015462780253158 0.72849403868096607
48 118 -488528579.37461948 476029897.00739884 0.12474793604551571 0.97441565776311267
50 129 -1289680767.8174617 469297490.49854261 0.70158443709572849 0.36388655410651655
58 97 -661663639.98355925 511684465.22956091 0.38357155086793171 0.77333018517123753
66 116 -756834853.65689969 482540392.50752687 0.33473809853518599 0.63757686393005319
65 145 -643098337.44742429 472272668.30870473 0.21843037039838539 0.73437084316411372
77 115 -621068728.01246285 501428156.45218515 0.3141206356887366 0.8073633944778541
81 147 -544193191.50606358 452931337.35576952 0.25854198461337263 0.8322987946656859
116 40 -596580240.05939639 449566397.7759465 0.13361049775518602 0.7535723907502988
130 49 -636561580.21142435 404716274.18099117 0.1104301763527025 0.63578495272455926
135 157 -507355554.11018044 459371660.07643962 0.21257792257580757 0.90542353652184449
134 45 -553442848.82068706 420502043.38052464 0.096010807589285416 0.75979307398507079
136 52 -716895625.79577005 400623516.85009456 0.14360601846381438 0.55883102425878739
137 41 -611444078.58306408 454133868.39235479 0.12991213365232271 0.74272347104046921
142 45 -1959866244.80971 374193637.77491474 0.79736123945229387 0.19092815071737024
141 84 -1285370308.1010838 406575140.33874941 0.62409242294627443 0.31630973407141721
142 89 -432862839.12732291 421556318.98666346 0.091969383594567397 0.97387967014342447
150 179 -508808624.71802074 504604973.55611461 0.26233975977167739 0.99173824703888269
143 111 -548528132.05801809 454885049.46108359 0.2576896416202385 0.82928299001621708
145 58 -517878556.49041218 445389622.38700336 0.11003247983423659 0.86002715656995765
148 61 -640672247.19681656 427336504.93681324 0.16359849534648849 0.66701266803201187
152 67 -1076403520.2683661 433736797.44367445 0.46371131029057922 0.40294999902595668
150 84 -689895163.18315208 407636623.05004835 0.23936488441507311 0.5908674894446676
151 73 -517762122.84256989 415592967.68198037 0.11000774144171645 0.80267163113502815
156 73 -441665640.5705229 427361450.26043504 0.082758831857560042 0.9676130787724162
